==119493== NVPROF is profiling process 119493, command: ./miniFE.x --num_devices 1 -nx 200 -ny 200 -nz 200
==119493== Profiling application: ./miniFE.x --num_devices 1 -nx 200 -ny 200 -nz 200
==119493== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",78.468196,718.080712,201,3.572540,3.559334,3.744549,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",15.099024,138.174677,602,0.229526,0.157439,0.232894,"_ZN6miniFE13waxpby_kernelINS_9PODVectorIdiiEEEEvNT_10ScalarTypeES3_S4_S3_S3_"
"GPU activities",5.127813,46.925805,400,0.117314,0.085343,0.149214,"_ZN6miniFE10dot_kernelINS_9PODVectorIdiiEEEEvT_S3_PNS_10TypeTraitsINS3_10ScalarTypeEE14magnitude_typeE"
"GPU activities",1.044192,9.555642,201,0.047540,0.047040,0.051071,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",0.098697,0.903196,400,0.002257,0.002175,0.002592,"_ZN6miniFE23dot_final_reduce_kernelIdEEvPT_"
"GPU activities",0.083734,0.766266,400,0.001915,0.001664,0.082080,"[CUDA memcpy DtoH]"
"GPU activities",0.052672,0.482013,400,0.001205,0.001152,0.001760,"_ZN6miniFE17cudaMemset_kernelIdEEvPT_S1_i"
"GPU activities",0.025673,0.234943,4,0.058735,0.001664,0.077919,"_ZN6thrust8cuda_cub4core13_kernel_agentINS0_14__parallel_for16ParallelForAgentINS0_20__uninitialized_fill7functorINS_10device_ptrIdEEdEEmEES9_mEEvT0_T1_"
"API calls",94.888920,889.715256,601,1.480391,0.005314,5.345715,"cudaEventSynchronize"
"API calls",3.700888,34.700959,2208,0.015716,0.009343,4.514232,"cudaLaunchKernel"
"API calls",0.571525,5.358839,4,1.339709,0.012562,1.838117,"cudaMalloc"
"API calls",0.497064,4.660667,400,0.011651,0.009283,0.041463,"cudaMemcpyAsync"
"API calls",0.145720,1.366331,3,0.455443,0.426757,0.508844,"cudaFree"
"API calls",0.076226,0.714724,400,0.001786,0.001580,0.007865,"cudaEventRecord"
