==91306== NVPROF is profiling process 91306, command: ./miniFE.x --num_devices 4 -nx 1600 -ny 1600 -nz 200
==91306== Profiling application: ./miniFE.x --num_devices 4 -nx 1600 -ny 1600 -nz 200
==91306== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",62.153648,3160.976969,201,15.726253,15.690702,15.763438,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",11.934627,606.964864,1,606.964864,606.964864,606.964864,"_ZN6miniFE19element_loop_kernelINS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEENS_7PODMeshIiEEEEvT1_NT_17GlobalOrdinalTypeEPKS9_S8_T0_PKNS8_10ScalarTypeESF_"
"GPU activities",10.950902,556.935111,602,0.925141,0.641179,0.929177,"_ZN6miniFE13waxpby_kernelINS_9PODVectorIdiiEEEEvNT_10ScalarTypeES3_S4_S3_S3_"
"GPU activities",6.035227,306.936329,606,0.506495,0.001279,234.386647,"[CUDA memcpy DtoH]"
"GPU activities",3.568503,181.484999,400,0.453712,0.313501,0.595708,"_ZN6miniFE10dot_kernelINS_9PODVectorIdiiEEEEvT_S3_PNS_10TypeTraitsINS3_10ScalarTypeEE14magnitude_typeE"
"GPU activities",1.833308,93.237402,201,0.463867,0.462045,0.471453,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",0.854211,43.443011,1,43.443011,43.443011,43.443011,"_ZN6miniFE32generate_matrix_structure_kernelINS_7PODMeshIiEENS_12PODELLMatrixIdiiEEEEvT_T0_iii"
"GPU activities",0.798247,40.596824,2,20.298412,18.327034,22.269790,"_ZN6miniFE30impose_dirichlet_second_kernelINS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvNT_10ScalarTypeES5_T0_PNS5_17GlobalOrdinalTypeES8_"
"GPU activities",0.386334,19.647952,10,1.964795,0.000928,18.741079,"[CUDA memcpy HtoD]"
"GPU activities",0.218046,11.089288,201,0.055170,0.025183,0.100736,"_ZN6miniFE20copyElementsToBufferIdiEEvPT_S2_PT0_i"
