==36518== NVPROF is profiling process 36518, command: ./miniFE.x --num_devices 2 -nx 800 -ny 400 -nz 200
==36518== Profiling application: ./miniFE.x --num_devices 2 -nx 800 -ny 400 -nz 200
==36518== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",70.039758,3106.713780,201,15.456287,15.425038,16.604997,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",12.348130,547.719008,602,0.909832,0.626524,0.915290,"_ZN6miniFE13waxpby_kernelINS_9PODVectorIdiiEEEEvNT_10ScalarTypeES3_S4_S3_S3_"
"GPU activities",6.818790,302.457186,1,302.457186,302.457186,302.457186,"_ZN6miniFE19element_loop_kernelINS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEENS_7PODMeshIiEEEEvT1_NT_17GlobalOrdinalTypeEPKS9_S8_T0_PKNS8_10ScalarTypeESF_"
"GPU activities",4.016606,178.162304,400,0.445405,0.308637,0.582780,"_ZN6miniFE10dot_kernelINS_9PODVectorIdiiEEEEvT_S3_PNS_10TypeTraitsINS3_10ScalarTypeEE14magnitude_typeE"
"GPU activities",3.107678,137.845515,606,0.227467,0.001664,92.449268,"[CUDA memcpy DtoH]"
"GPU activities",0.950831,42.175492,201,0.209828,0.209118,0.211967,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",0.891441,39.541148,2,19.770574,17.824700,21.716448,"_ZN6miniFE30impose_dirichlet_second_kernelINS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvNT_10ScalarTypeES5_T0_PNS5_17GlobalOrdinalTypeES8_"
"GPU activities",0.328323,14.563220,1,14.563220,14.563220,14.563220,"_ZN6miniFE32generate_matrix_structure_kernelINS_7PODMeshIiEENS_12PODELLMatrixIdiiEEEEvT_T0_iii"
"GPU activities",0.247903,10.996109,10,1.099610,0.001312,10.799824,"[CUDA memcpy HtoD]"
