==96151== NVPROF is profiling process 96151, command: ./miniFE.x --num_devices 4 -nx 800 -ny 800 -nz 200
==96151== Profiling application: ./miniFE.x --num_devices 4 -nx 800 -ny 800 -nz 200
==96151== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",74.750810,761.937217,201,3.790732,3.783619,3.797667,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",13.388050,136.464790,602,0.226685,0.155679,0.230687,"_ZN6miniFE13waxpby_kernelINS_9PODVectorIdiiEEEEvNT_10ScalarTypeES3_S4_S3_S3_"
"GPU activities",4.557758,46.457366,400,0.116143,0.083072,0.149279,"_ZN6miniFE10dot_kernelINS_9PODVectorIdiiEEEEvT_S3_PNS_10TypeTraitsINS3_10ScalarTypeEE14magnitude_typeE"
"GPU activities",3.673112,37.440135,201,0.186269,0.184094,0.188222,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",3.000339,30.582542,601,0.050886,0.001279,0.213534,"[CUDA memcpy DtoH]"
"GPU activities",0.472558,4.816797,201,0.023964,0.013920,0.034112,"_ZN6miniFE20copyElementsToBufferIdiEEvPT_S2_PT0_i"
"GPU activities",0.088630,0.903413,400,0.002258,0.002176,0.002912,"_ZN6miniFE23dot_final_reduce_kernelIdEEvPT_"
"GPU activities",0.045732,0.466143,400,0.001165,0.001120,0.001632,"_ZN6miniFE17cudaMemset_kernelIdEEvPT_S1_i"
"GPU activities",0.023012,0.234559,4,0.058639,0.001568,0.080096,"_ZN6thrust8cuda_cub4core13_kernel_agentINS0_14__parallel_for16ParallelForAgentINS0_20__uninitialized_fill7functorINS_10device_ptrIdEEdEEmEES9_mEEvT0_T1_"
"API calls",76.415201,509.912226,601,0.848439,0.099153,4.088519,"cudaEventSynchronize"
"API calls",14.541489,97.034138,2409,0.040279,0.024339,11.283042,"cudaLaunchKernel"
"API calls",4.052704,27.043354,4,6.760838,0.036528,9.125335,"cudaMalloc"
"API calls",2.427435,16.198069,601,0.026951,0.017644,0.035004,"cudaMemcpyAsync"
